CMYK-Advanced Target Solvent
LGOROWLENGTH	"21"
ORIGINATOR	"ColorGATE"
DESCRIPTOR	"CMYK-Advanced Target Solvent"
KEYWORD	"INFO"
INFO	"Linearization target for solvent printers with an accurate characteristic in the ranges 0..30% and 80..100%."
INSTRUMENTATION	"Barbieri Spectro LFP"
KEYWORD	"ILLUMINATION_NAME"
ILLUMINATION_NAME	"D50"
KEYWORD	"OBSERVER_ANGLE"
OBSERVER_ANGLE	"2"
NUMBER_OF_FIELDS	"42"
NUMBER_OF_SETS	"84"
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	SPECTRAL_NM_380	SPECTRAL_NM_390	SPECTRAL_NM_400	SPECTRAL_NM_410	SPECTRAL_NM_420	SPECTRAL_NM_430	SPECTRAL_NM_440	SPECTRAL_NM_450	SPECTRAL_NM_460	SPECTRAL_NM_470	SPECTRAL_NM_480	SPECTRAL_NM_490	SPECTRAL_NM_500	SPECTRAL_NM_510	SPECTRAL_NM_520	SPECTRAL_NM_530	SPECTRAL_NM_540	SPECTRAL_NM_550	SPECTRAL_NM_560	SPECTRAL_NM_570	SPECTRAL_NM_580	SPECTRAL_NM_590	SPECTRAL_NM_600	SPECTRAL_NM_610	SPECTRAL_NM_620	SPECTRAL_NM_630	SPECTRAL_NM_640	SPECTRAL_NM_650	SPECTRAL_NM_660	SPECTRAL_NM_670	SPECTRAL_NM_680	SPECTRAL_NM_690	SPECTRAL_NM_700	SPECTRAL_NM_710	SPECTRAL_NM_720	SPECTRAL_NM_730
END_DATA_FORMAT
BEGIN_DATA
81	Yellow_0	0	0	0	0	0.4677	0.52	0.6247	0.7474	0.8466	0.889	0.9016	0.9042	0.9057	0.9046	0.9	0.8936	0.8849	0.877	0.8718	0.8669	0.8632	0.8598	0.8528	0.8505	0.846	0.8435	0.8429	0.8443	0.8482	0.8528	0.8594	0.8673	0.8757	0.8832	0.8898	0.8949	0.9008	0.9051	0.9068	0.9098
84	Yellow_5	0	0	5.1	0	0.4288	0.4691	0.5566	0.6593	0.7434	0.7788	0.7904	0.7941	0.7972	0.7999	0.8082	0.8301	0.8535	0.8655	0.8682	0.8656	0.8629	0.8598	0.8533	0.8514	0.8468	0.8442	0.8434	0.8449	0.8489	0.8531	0.8599	0.8681	0.8765	0.8839	0.8907	0.8955	0.9014	0.9059	0.9075	0.9104
87	Yellow_10	0	0	10.98	0	0.382	0.4162	0.4892	0.5754	0.6451	0.6746	0.6849	0.6899	0.6944	0.7004	0.721	0.7708	0.8269	0.861	0.8719	0.8721	0.8701	0.8676	0.8613	0.8597	0.8553	0.8526	0.8519	0.8534	0.8573	0.8618	0.8684	0.8763	0.8852	0.8922	0.8986	0.9035	0.9095	0.9135	0.9153	0.9179
89	Yellow_15	0	0	14.9	0	0.3572	0.3839	0.4468	0.5231	0.5832	0.6079	0.6181	0.6235	0.6284	0.6359	0.6634	0.7303	0.8072	0.8561	0.8736	0.8761	0.8752	0.873	0.8671	0.8657	0.8616	0.859	0.8586	0.86	0.8638	0.8684	0.8749	0.8829	0.8911	0.8984	0.9045	0.9092	0.9146	0.9189	0.9202	0.9229
91	Yellow_20	0	0	20	0	0.3201	0.3405	0.3903	0.4517	0.5015	0.5218	0.53	0.5364	0.5419	0.5513	0.5857	0.6712	0.7741	0.8432	0.8703	0.8757	0.876	0.8747	0.8695	0.8685	0.8647	0.8624	0.862	0.8636	0.8672	0.8715	0.8775	0.8847	0.8925	0.899	0.9047	0.9087	0.9139	0.9176	0.9189	0.9212
92	Yellow_25	0	0	25.1	0	0.2927	0.3058	0.3472	0.3988	0.4405	0.4569	0.4648	0.4712	0.4772	0.4877	0.5275	0.6266	0.7487	0.8327	0.8666	0.8746	0.8753	0.8742	0.8692	0.8683	0.8642	0.8621	0.8616	0.8633	0.8667	0.8711	0.8771	0.8843	0.8925	0.8992	0.905	0.9089	0.9136	0.9173	0.9189	0.9216
93	Yellow_30	0	0	30.2	0	0.2547	0.267	0.2983	0.3393	0.3731	0.3863	0.3929	0.3998	0.4062	0.4176	0.4623	0.5746	0.7166	0.8173	0.8593	0.8696	0.8713	0.8704	0.8655	0.8647	0.8608	0.8588	0.8585	0.8604	0.864	0.8686	0.8749	0.8826	0.8912	0.8979	0.9043	0.9085	0.9136	0.9177	0.9194	0.9225
94	Yellow_35	0	0	34.9	0	0.2242	0.2276	0.2502	0.2815	0.3076	0.3179	0.3237	0.3304	0.3366	0.349	0.3968	0.5203	0.6819	0.8011	0.8523	0.866	0.8689	0.8685	0.8639	0.8631	0.8592	0.8573	0.8571	0.859	0.8625	0.867	0.8735	0.881	0.8893	0.8963	0.9024	0.9065	0.9116	0.9156	0.9173	0.9202
95	Yellow_40	0	0	40	0	0.191	0.1928	0.2089	0.2314	0.251	0.2587	0.2637	0.2692	0.2751	0.2867	0.3339	0.4627	0.6412	0.7797	0.8424	0.8602	0.864	0.8641	0.8595	0.8587	0.855	0.8531	0.8531	0.8552	0.859	0.8638	0.8705	0.8784	0.8871	0.8945	0.9011	0.9056	0.9111	0.9154	0.9176	0.9207
96	Yellow_45	0	0	45.1	0	0.1594	0.1583	0.1696	0.1857	0.2001	0.2053	0.2091	0.2143	0.2195	0.2299	0.2745	0.4052	0.5975	0.7553	0.8298	0.852	0.8571	0.8575	0.8529	0.8521	0.8484	0.8465	0.8466	0.8489	0.8529	0.8581	0.8651	0.8732	0.8826	0.8904	0.8975	0.9026	0.9082	0.9128	0.9154	0.9191
