CGATS.17
ORIGINATOR	"ColorGATE"
FILE_DESCRIPTOR	"CMYKOG Advanced Linearization Target"
CREATED	"2022-10-24T09:33:27+02:00"
LGOROWLENGTH	20
KEYWORD	"INFO"
INFO	"Linearization target with an accurate characteristic in the ranges 0..30% and 80..100%."
INSTRUMENTATION	"X-Rite i1Pro2"
KEYWORD	"ILLUMINATION_NAME"
ILLUMINATION_NAME	"D50"
KEYWORD	"OBSERVER_ANGLE"
OBSERVER_ANGLE	"2"
KEYWORD	"MEASURE_CONDITION"
MEASURE_CONDITION	"M0"
NUMBER_OF_FIELDS	45
NUMBER_OF_SETS	240
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	PC6_1	PC6_2	PC6_3	PC6_4	PC6_5	PC6_6	SPECTRAL_NM_380	SPECTRAL_NM_390	SPECTRAL_NM_400	SPECTRAL_NM_410	SPECTRAL_NM_420	SPECTRAL_NM_430	SPECTRAL_NM_440	SPECTRAL_NM_450	SPECTRAL_NM_460	SPECTRAL_NM_470	SPECTRAL_NM_480	SPECTRAL_NM_490	SPECTRAL_NM_500	SPECTRAL_NM_510	SPECTRAL_NM_520	SPECTRAL_NM_530	SPECTRAL_NM_540	SPECTRAL_NM_550	SPECTRAL_NM_560	SPECTRAL_NM_570	SPECTRAL_NM_580	SPECTRAL_NM_590	SPECTRAL_NM_600	SPECTRAL_NM_610	SPECTRAL_NM_620	SPECTRAL_NM_630	SPECTRAL_NM_640	SPECTRAL_NM_650	SPECTRAL_NM_660	SPECTRAL_NM_670	SPECTRAL_NM_680	SPECTRAL_NM_690	SPECTRAL_NM_700	SPECTRAL_NM_710	SPECTRAL_NM_720	SPECTRAL_NM_730	IGNORESAMPLE
END_DATA_FORMAT
BEGIN_DATA
41	Magenta_0	0	0	0	0	0	0	0.4563	0.5111	0.5775	0.709	0.8365	0.8727	0.8823	0.8787	0.8719	0.8694	0.867	0.8656	0.8649	0.865	0.8662	0.8655	0.8663	0.867	0.8666	0.8708	0.8719	0.8748	0.8774	0.8815	0.8857	0.8898	0.8954	0.9005	0.9043	0.907	0.9088	0.9099	0.9132	0.9154	0.9168	0.9188	0
42	Magenta_1	0	1.18	0	0	0	0	0.439	0.4926	0.559	0.6883	0.8122	0.847	0.8521	0.8436	0.8315	0.8227	0.8133	0.8046	0.7977	0.7912	0.7817	0.7706	0.7681	0.7707	0.7698	0.7762	0.7934	0.8227	0.8484	0.8659	0.877	0.8847	0.8918	0.8978	0.9019	0.9047	0.9071	0.9082	0.9115	0.914	0.9154	0.9172	0
43	Magenta_3	0	3.14	0	0	0	0	0.4188	0.474	0.5391	0.6605	0.7731	0.8004	0.7992	0.7845	0.7653	0.7484	0.7293	0.7102	0.6949	0.6791	0.6544	0.6285	0.6218	0.6276	0.6269	0.6368	0.6779	0.7465	0.8063	0.8435	0.8639	0.8755	0.8844	0.8911	0.8952	0.8983	0.8999	0.9009	0.9044	0.9067	0.9079	0.9098	0
44	Magenta_5	0	5.1	0	0	0	0	0.3996	0.4509	0.5145	0.6312	0.7407	0.7656	0.7591	0.7385	0.7129	0.6893	0.6627	0.6355	0.6143	0.5924	0.558	0.5234	0.5141	0.5214	0.5203	0.5319	0.587	0.681	0.7657	0.8195	0.8494	0.8656	0.8768	0.8845	0.8897	0.893	0.8951	0.8967	0.9003	0.9027	0.9042	0.906	0
45	Magenta_7	0	7.06	0	0	0	0	0.3792	0.4299	0.4935	0.6055	0.7096	0.7309	0.7205	0.6952	0.6648	0.6358	0.603	0.5698	0.5438	0.5172	0.4755	0.4342	0.4229	0.4317	0.4308	0.4437	0.51	0.6252	0.7312	0.7995	0.8374	0.858	0.8713	0.8799	0.8852	0.8889	0.8915	0.8934	0.8967	0.8993	0.9005	0.9026	0
46	Magenta_9	0	9.02	0	0	0	0	0.3634	0.4114	0.4758	0.5818	0.6782	0.6952	0.6808	0.652	0.6177	0.5854	0.5485	0.5112	0.4821	0.4523	0.4059	0.3609	0.3488	0.3584	0.3576	0.3716	0.4454	0.576	0.6988	0.7791	0.824	0.8479	0.8625	0.8717	0.8776	0.881	0.8833	0.8848	0.8882	0.8906	0.8917	0.8939	0
47	Magenta_11	0	10.98	0	0	0	0	0.3436	0.3903	0.4529	0.5547	0.6491	0.6631	0.6455	0.614	0.577	0.5415	0.5013	0.4611	0.4299	0.3981	0.3488	0.3019	0.2894	0.2993	0.2986	0.3128	0.3909	0.5318	0.668	0.7594	0.8114	0.8392	0.856	0.8664	0.8726	0.8766	0.8793	0.8809	0.8847	0.8872	0.8881	0.8904	0
48	Magenta_13	0	12.94	0	0	0	0	0.3256	0.372	0.4345	0.5345	0.6247	0.6358	0.6167	0.5823	0.5423	0.5045	0.4616	0.4192	0.3863	0.353	0.3016	0.2536	0.2411	0.2513	0.2509	0.2653	0.3462	0.4954	0.6428	0.7436	0.8026	0.8342	0.8531	0.8644	0.8711	0.8755	0.8781	0.8799	0.8834	0.8859	0.8875	0.8898	0
49	Magenta_15	0	14.9	0	0	0	0	0.3152	0.3606	0.4219	0.5165	0.6017	0.6116	0.5902	0.5535	0.5118	0.4728	0.4284	0.3845	0.3512	0.3173	0.2655	0.2179	0.2056	0.2159	0.2155	0.2298	0.3111	0.4649	0.62	0.7289	0.7937	0.8292	0.8495	0.8614	0.8687	0.8728	0.876	0.8777	0.8816	0.8844	0.8857	0.8883	0
50	Magenta_17	0	16.86	0	0	0	0	0.2982	0.3419	0.4026	0.495	0.5787	0.5873	0.5647	0.527	0.4838	0.4434	0.3981	0.3534	0.3193	0.2851	0.2336	0.187	0.1752	0.1848	0.1845	0.1984	0.2793	0.4355	0.5962	0.7113	0.7811	0.82	0.8422	0.8552	0.8632	0.8676	0.8713	0.8731	0.877	0.8801	0.8815	0.8835	0
51	Magenta_20	0	20	0	0	0	0	0.28	0.3223	0.3819	0.4677	0.5444	0.5498	0.5248	0.4855	0.4414	0.3999	0.3536	0.3084	0.2744	0.2408	0.1906	0.1463	0.1353	0.1443	0.1442	0.1573	0.2361	0.3938	0.562	0.6858	0.7626	0.806	0.8308	0.845	0.8533	0.8582	0.8621	0.8644	0.868	0.8712	0.8725	0.8741	0
